,tp,lnsp,temp19,temp9,temp2,temp0,u19,u9,u2,u0,v19,v9,v2,v0,sza,tp_mean,tp_sd,balloon,abs_gwmf
63,6.938894e-18,11.523811,198.29788,246.85117,289.93204,301.3241,6.083369,-6.597015,-1.9820718,-2.3364682,-0.23582582,-1.8349047,-0.0726545,-0.57304657,101.15544,0.000114179646,0.00024847986,1,0.0007866594
64,6.5239394e-05,11.524202,198.42657,246.76326,290.19998,300.52664,5.9159064,-7.8795924,-2.5221045,-2.6038883,1.5373025,-3.0831654,-0.9347429,-0.03276819,115.10319,0.00022053055,0.0004886343,1,0.0005154095
65,4.2779934e-06,11.524529,198.80208,246.75342,290.0966,300.58994,6.1885195,-8.10677,-2.2559826,-2.333872,2.2008657,-3.2109828,-0.757974,0.27907032,128.74121,0.00018724777,0.00040662976,1,0.00090042857
66,9.625484e-06,11.524857,199.1776,246.74358,289.99323,300.65323,6.461132,-8.333947,-1.9898608,-2.0638556,2.8644292,-3.3388004,-0.5812051,0.5909088,141.58403,0.00016367603,0.00032247536,1,0.00078413845
67,1.8181472e-05,11.524217,199.1136,246.89195,289.65216,300.4317,6.8843307,-8.078211,-1.7704725,-1.8937973,2.6649976,-3.5717728,-0.4289119,0.6335147,152.55388,4.5090048e-05,8.1624334e-05,1,0.00039312086
68,0.00012085331,11.523578,199.04962,247.04033,289.31113,300.2102,7.3075294,-7.822474,-1.5510842,-1.7237388,2.465566,-3.804745,-0.27661866,0.6761205,158.4269,8.2051905e-05,0.00016747143,1,0.00018655557
69,0.00039357538,11.522938,198.98563,247.1887,288.97006,299.98868,7.730728,-7.566737,-1.3316959,-1.5536804,2.2661343,-4.0377173,-0.12432542,0.7187264,155.48122,0.00011430798,0.00016951257,1,0.000690262
70,0.00053795765,11.522988,198.63196,247.05588,288.95355,300.0892,8.521915,-8.155762,-1.5543981,-1.878616,2.3714976,-4.32525,-0.15448679,0.44084576,145.78781,0.00019298027,0.0002888094,1,0.0008964341
71,4.277993e-05,11.523038,198.2783,246.92303,288.937,300.1897,9.313104,-8.744785,-1.7771003,-2.2035515,2.4768608,-4.6127834,-0.18464816,0.16296515,133.33232,0.00021702259,0.0003990424,1,0.00087931845
72,5.2405416e-05,11.523088,197.92464,246.7902,288.9205,300.29022,10.104291,-9.33381,-1.9998025,-2.528487,2.5822241,-4.900316,-0.21480954,-0.11491548,119.824196,0.00012401903,0.00020432948,1,0.00067044114
